prefix,keywords
ABRD,"abroad, studies, ancient, asian, geography, art, civilization, cross, europe, human, seminar, special, study, cultural, european"
ACCT,"accounting, advanced, acct, division, analysis, financial, income, independnt, acctng, auditing, independent, lower, research, analytics, business"
ARTS,"design, arts, animation, art, interior, internship, gaming, division, advanced, digital, graphic, history, game, independent, media"
BIBL,"bible, study, independent, special, new, division, old, testament, spec, christian, studies, biblical, faith, god, lnds"
BIOL,"biology, division, bio, anatomy, lab, exercise, gen, human, physiology, lower, research, upper, diversity, micro, biochemistry"
BUSA,"business, division, admin, management, entrepreneur, leveling, legal, project, accounting, analysis, environment, business-graduate, entrepreneurship, independent, internatl"
CENG,"engineering, design, computer, advanced, special, comp, network, systems, accepted, engr, architecture, embedded, software, studies, -graduate"
CHDV,"child, development, div, childhood, age, devlp, spec, char, early, lower, charact, devl, nat, studies, emergent"
CHEM,"chemistry, division, chem, methods, lab, lower, research, analyt, elective, exper, grad, upper, analysis, biochemistry, engineers"
CHNS,"chinese, division, lower, upper"
CHST,"church, historical, history, selected, hist-restoration, seminar, theology, movement, topic"
CLTR,"special, studies, cultural, culture, international, big, christianity, 2nd, arts, cltr, core, data, caesars, christi, examining"
CMSC,"computer, lab, engineering, science, special, architecture, comp, software, artificial, data, programming, div, sci, network, application"
COMM,"communication, media, communicatio, comm, division, practicum, spec, adv, independent, advanced, leadership, studies, study, arts, intercultural"
COMP,"comprehensive, exam, examination"
CRMJ,"criminal, justice, cultural, diversity, capstone, independent, behavior, comparative, contemporary, crmj, delinquency, deviance, america, american, ethics"
ECED,"childhood, early, division, div, charact, cognitive, lower, emergent, upper, literacy, nature, practicum, skills, skills-practicum, topics"
ECON,"economics, division, lower, business, enterprise, internship, level, economics-graduate, free, independent, upper, international, macroeconomic, managerial, microeconomic"
EDUC,"education, methods, osat, state, math, division, classroom, special, secondary, student, tch, english, foundations, elem, assessment"
ELEC,"elec, engr, electrical, division, special, engineering, design, studies, systems, devices, power, processing, real-time, acceptance, adv"
ELEM,"educ, elem, division, intermediate, practicum, primary, arts, education, indep, social, student, mathematics, reading, std, assessment"
ENGL,"english, division, studies, lit, literature, independent, special, writing, editing, pract, amer, comm, metacognitive, practicum, stu"
ENGR,"engineering, division, engr, christian, analysis, lower, special, values, ethics, design, practicum, science, circuit, div, ece"
ESLI,"american, culture, pre, academic, esl, skills, study, communication, toefl, oral, reading, writing"
ETHS,"engagement, ethos, life, spirital, spiritual"
EXSC,"exercise, division, nutrition, exer, health, capstone, missions, upper, conditioning, lab, lifespan, physiology, prescription, science, biomechanics"
